session_id,pupil.location,running.running_speed,drifting_gratings.orientation,drifting_gratings.temporal_frequency,static_gratings.phase,static_gratings.spatial_frequency,static_gratings.orientation,natural_scenes.frame,natural_movie_one.frame,natural_movie_two.frame,natural_movie_three.frame,locally_sparse_noise.frame
657915168.h5,False,True,True,True,False,False,False,False,True,False,True,False
590513448.h5,False,True,False,False,False,False,False,False,True,True,False,True
663488086.h5,False,True,False,False,True,True,True,True,True,False,False,False
606802468.h5,False,True,True,True,False,False,False,False,True,False,True,False
692345003.h5,False,True,True,True,False,False,False,False,True,False,True,False
617079480.h5,False,True,False,False,True,True,True,True,True,False,False,False
664414452.h5,False,True,False,False,True,True,True,True,True,False,False,False
649399137.h5,False,True,False,False,True,True,True,True,True,False,False,False
576757012.h5,True,True,False,False,False,False,False,False,True,True,False,True
653122667.h5,False,True,True,True,False,False,False,False,True,False,True,False
586241882.h5,False,True,False,False,True,True,True,True,True,False,False,False
673475737.h5,False,True,False,False,False,False,False,False,True,True,False,True
603452151.h5,False,True,False,False,False,False,False,False,True,True,False,True
557589954.h5,True,True,False,False,True,True,True,True,True,False,False,False
596779487.h5,False,True,True,True,False,False,False,False,True,False,True,False
601260046.h5,False,True,False,False,True,True,True,True,True,False,False,False
710024283.h5,False,True,False,False,True,True,True,True,True,False,False,False
652091264.h5,False,True,True,True,False,False,False,False,True,False,True,False
652339241.h5,False,True,False,False,False,False,False,False,True,True,False,True
577225417.h5,True,True,False,False,False,False,False,False,True,True,False,True
669233895.h5,False,True,True,True,False,False,False,False,True,False,True,False
561312435.h5,True,True,True,True,False,False,False,False,True,False,True,False
507129766.h5,False,True,True,True,False,False,False,False,True,False,True,False
556321897.h5,True,True,True,True,False,False,False,False,True,False,True,False
657087057.h5,False,True,False,False,True,True,True,True,True,False,False,False
562172003.h5,True,True,False,False,True,True,True,True,True,False,False,False
602857315.h5,False,True,False,False,True,True,True,True,True,False,False,False
506156402.h5,True,True,False,False,True,True,True,True,True,False,False,False
652990651.h5,False,True,False,False,True,True,True,True,True,False,False,False
573844211.h5,True,True,False,False,False,False,False,False,True,True,False,True
688678798.h5,False,True,False,False,False,False,False,False,True,True,False,True
592348507.h5,False,True,True,True,False,False,False,False,True,False,True,False
539487468.h5,False,True,True,True,False,False,False,False,True,False,True,False
561528269.h5,True,True,False,False,True,True,True,True,True,False,False,False
539290504.h5,False,True,True,True,False,False,False,False,True,False,True,False
505693621.h5,True,True,False,False,False,False,False,False,True,True,False,True
662361096.h5,False,True,True,True,False,False,False,False,True,False,True,False
529688779.h5,False,True,True,True,False,False,False,False,True,False,True,False
559082739.h5,True,True,False,False,True,True,True,True,True,False,False,False
623339891.h5,False,True,False,False,False,False,False,False,True,True,False,True
660065134.h5,False,True,False,False,True,True,True,True,True,False,False,False
512270518.h5,True,True,True,True,False,False,False,False,True,False,True,False
570889097.h5,True,True,False,False,True,True,True,True,True,False,False,False
596769570.h5,False,True,False,False,False,False,False,False,True,True,False,True
574180032.h5,True,True,False,False,False,False,False,False,True,True,False,True
511976254.h5,True,True,False,False,False,False,False,False,True,True,False,True
658522835.h5,False,True,False,False,True,True,True,True,True,False,False,False
